datasetName;numQuery;queryArea;minX;minY;maxX;maxY;areaint;cardinality;executionTime;mbrTests;mbrTests_class
dataset2;5;1.0;6.0;4.0;7.0;5.0;9.0;0.040156;60;80686;74382.0000000000-111573.0000000000
dataset2;1;0.5;6.5;3.5;7.5;4.0;14.0;0.019778;41;39300;37191.0000000000-74382.0000000000
dataset2;2;0.5;6.5;4.5;7.5;5.0;10.5;0.02481;38;59759;37191.0000000000-74382.0000000000
dataset2;3;0.5;6.5;5.5;7.5;6.0;7.0;0.024424;44;79767;74382.0000000000-111573.0000000000
dataset2;4;0.5;6.5;6.5;7.5;7.0;3.5;0.02464;45;80025;74382.0000000000-111573.0000000000
dataset2;5;0.5;6.5;7.5;7.5;8.0;-0.0;0.02475;43;79586;74382.0000000000-111573.0000000000
dataset2;1;2.0;2.0;4.0;4.0;5.0;0.0;0.070852;36;99846;74382.0000000000-111573.0000000000
dataset2;2;2.0;6.0;4.0;8.0;5.0;9.0;0.071372;35;99733;74382.0000000000-111573.0000000000
dataset2;3;2.0;2.0;8.0;4.0;9.0;1.0;0.071462;34;140764;111573.0000000000-148764.0000000000
dataset2;4;2.0;6.0;8.0;8.0;9.0;0.0;0.071154;39;140917;111573.0000000000-148764.0000000000
dataset2;5;2.0;4.5;5.5;5.5;7.5;0.75;0.071192;36;122209;111573.0000000000-148764.0000000000
dataset2;1;1.5;3.5;3.5;4.5;5.0;1.5;0.050752;40;58638;37191.0000000000-74382.0000000000
dataset2;2;1.5;3.5;4.5;4.5;6.0;1.0;0.055372;42;97603;74382.0000000000-111573.0000000000
dataset2;3;1.5;3.5;5.5;4.5;7.0;0.5;0.055634;35;136882;111573.0000000000-148764.0000000000
dataset2;4;1.5;3.5;6.5;4.5;8.0;-0.0;0.055836;32;118937;111573.0000000000-148764.0000000000
dataset2;5;1.5;3.5;7.5;4.5;9.0;0.0;0.055622;36;99409;74382.0000000000-111573.0000000000
dataset2;1;0.75;2.5;8.75;3.5;9.5;0.125;0.027962;41;78181;74382.0000000000-111573.0000000000
dataset2;2;0.75;2.5;7.75;3.5;8.5;0.25;0.032938;36;79433;74382.0000000000-111573.0000000000
dataset2;3;0.75;2.5;6.75;3.5;7.5;0.0;0.033032;35;98129;74382.0000000000-111573.0000000000
dataset2;4;0.75;2.5;5.75;3.5;6.5;0.0;0.032772;40;137436;111573.0000000000-148764.0000000000
dataset2;5;0.75;2.5;4.75;3.5;5.5;0.0;0.032428;33;119938;111573.0000000000-148764.0000000000
dataset2;1;1.75;5.5;7.75;6.5;9.5;0.0;0.059058;33;100993;74382.0000000000-111573.0000000000
dataset2;2;1.75;5.5;6.75;6.5;8.5;0.0;0.06352;53;121564;111573.0000000000-148764.0000000000
dataset2;3;1.75;5.5;5.75;6.5;7.5;1.25;0.064366;35;121538;111573.0000000000-148764.0000000000
dataset2;4;1.75;5.5;4.75;6.5;6.5;3.75;0.063862;32;101424;74382.0000000000-111573.0000000000
dataset2;5;1.75;5.5;3.75;6.5;5.5;6.25;0.062926;31;120694;111573.0000000000-148764.0000000000
dataset2;1;0.25;2.25;6.0;2.5;7.0;0.0;0.017034;33;61432;37191.0000000000-74382.0000000000
dataset2;2;0.25;2.5;6.0;2.75;7.0;0.0;0.017146;42;116056;111573.0000000000-148764.0000000000
dataset2;3;0.25;7.25;6.0;7.5;7.0;4.25;0.016818;37;80025;74382.0000000000-111573.0000000000
dataset2;4;0.25;7.5;6.0;7.75;7.0;4.5;0.01685;48;80025;74382.0000000000-111573.0000000000
dataset2;5;0.25;5.25;6.0;5.5;7.0;2.25;0.016762;36;60893;37191.0000000000-74382.0000000000
dataset2;1;1.25;1.5;3.5;2.75;4.5;0.0;0.038068;36;59171;37191.0000000000-74382.0000000000
dataset2;2;1.25;2.5;4.5;3.75;5.5;0.0;0.0478;44;139208;111573.0000000000-148764.0000000000
dataset2;3;1.25;3.5;5.5;4.75;6.5;0.75;0.048138;30;137115;111573.0000000000-148764.0000000000
dataset2;4;1.25;4.5;6.5;5.75;7.5;0.75;0.048032;36;120286;111573.0000000000-148764.0000000000
dataset2;5;1.25;5.5;7.5;6.75;8.5;0.0;0.04805;35;81556;74382.0000000000-111573.0000000000
dataset2;1;2.25;1.5;6.0;3.75;7.0;0.0;0.074786;34;158125;148764.0000000000-185955.0000000000
dataset2;2;2.25;6.25;6.0;8.5;7.0;3.25;0.07397;33;140918;111573.0000000000-148764.0000000000
dataset2;3;2.25;4.5;3.5;5.5;5.75;3.375;0.074314;32;100344;74382.0000000000-111573.0000000000
dataset2;4;2.25;4.5;7.25;5.5;9.5;0.0;0.074428;30;101242;74382.0000000000-111573.0000000000
dataset2;5;2.15;3.85;6.0;6.0;7.0;0.8500000000000001;0.07601;37;180358;148764.0000000000-185955.0000000000
dataset2;1;2.5;1.5;3.5;2.5;6.0;0.0;0.072532;37;61323;37191.0000000000-74382.0000000000
dataset2;2;2.5;7.5;3.5;8.5;6.0;9.0;0.07237;30;100020;74382.0000000000-111573.0000000000
dataset2;3;2.5;1.5;7.0;2.5;9.5;0.5;0.072324;32;61470;37191.0000000000-74382.0000000000
dataset2;4;2.5;7.5;7.0;8.5;9.5;0.0;0.072036;36;119847;111573.0000000000-148764.0000000000
dataset2;5;2.5;4.0;6.0;6.5;7.0;1.0;0.086698;29;180358;148764.0000000000-185955.0000000000
dataset3;1;1.0;2.0;8.0;3.0;9.0;1.0;0.040284;1181;57260;37191.0000000000-74382.0000000000
dataset3;2;1.0;3.0;7.0;4.0;8.0;0.0;0.04053;83;117346;111573.0000000000-148764.0000000000
dataset3;3;1.0;4.0;6.0;5.0;7.0;1.0;0.04025;63;112619;111573.0000000000-148764.0000000000
dataset3;4;1.0;5.0;5.0;6.0;6.0;4.0;0.040918;38;74357;37191.0000000000-74382.0000000000
dataset3;5;1.0;6.0;4.0;7.0;5.0;9.0;0.040616;38;133977;111573.0000000000-148764.0000000000
dataset3;1;0.5;6.5;3.5;7.5;4.0;14.0;0.020412;46;73513;37191.0000000000-74382.0000000000
dataset3;2;0.5;6.5;4.5;7.5;5.0;10.5;0.024942;39;135940;111573.0000000000-148764.0000000000
dataset3;3;0.5;6.5;5.5;7.5;6.0;7.0;0.02499;36;112654;111573.0000000000-148764.0000000000
dataset3;4;0.5;6.5;6.5;7.5;7.0;3.5;0.024684;38;111493;74382.0000000000-111573.0000000000
dataset3;5;0.5;6.5;7.5;7.5;8.0;-0.0;0.024506;50;99209;74382.0000000000-111573.0000000000
dataset3;1;2.0;2.0;4.0;4.0;5.0;0.0;0.070862;35;115892;111573.0000000000-148764.0000000000
dataset3;2;2.0;6.0;4.0;8.0;5.0;9.0;0.071688;48;153691;148764.0000000000-185955.0000000000
dataset3;3;2.0;2.0;8.0;4.0;9.0;1.0;0.071522;40;97411;74382.0000000000-111573.0000000000
dataset3;4;2.0;6.0;8.0;8.0;9.0;0.0;0.070692;44;99209;74382.0000000000-111573.0000000000
dataset3;5;2.0;4.5;5.5;5.5;7.5;0.75;0.071356;45;132710;111573.0000000000-148764.0000000000
dataset3;1;1.5;3.5;3.5;4.5;5.0;1.5;0.050772;43;97532;74382.0000000000-111573.0000000000
dataset3;2;1.5;3.5;4.5;4.5;6.0;1.0;0.055488;36;98224;74382.0000000000-111573.0000000000
dataset3;3;1.5;3.5;5.5;4.5;7.0;0.5;0.05594;32;135443;111573.0000000000-148764.0000000000
dataset3;4;1.5;3.5;6.5;4.5;8.0;-0.0;0.056072;34;94933;74382.0000000000-111573.0000000000
dataset3;5;1.5;3.5;7.5;4.5;9.0;0.0;0.056066;36;80483;74382.0000000000-111573.0000000000
dataset3;1;0.75;2.5;8.75;3.5;9.5;0.125;0.027848;33;39244;37191.0000000000-74382.0000000000
dataset3;2;0.75;2.5;7.75;3.5;8.5;0.25;0.032454;43;80483;74382.0000000000-111573.0000000000
dataset3;3;0.75;2.5;6.75;3.5;7.5;0.0;0.032626;34;117346;111573.0000000000-148764.0000000000
dataset3;4;0.75;2.5;5.75;3.5;6.5;0.0;0.032362;40;95851;74382.0000000000-111573.0000000000
